brand,name,category,price,img_url,product_url
마인드브릿지 우먼,시어 스트라이프 오버핏 셔츠,셔츠/블라우스,79900,https://image.msscdn.net/thumbnails/images/prd_img/20260310/6110012/detail_6110012_17772635333766_big.jpg?w=1200,
버진키스,Angelo punching blouse,셔츠/블라우스,95000,https://image.msscdn.net/thumbnails/images/prd_img/20260503/6414326/detail_6414326_17779063344435_big.jpeg?w=1200,
레이즈미야,유이 러플 블라우스,셔츠/블라우스,159000,https://image.msscdn.net/thumbnails/images/prd_img/20260515/6491039/detail_6491039_17788343695688_big.jpg?w=1200,
코이리스,카이오 체크 반팔 셔츠 남녀공용,셔츠/블라우스,86100,https://image.msscdn.net/thumbnails/images/prd_img/20260630/6753916/detail_6753916_17834071513098_big.jpg?w=1200,
하이스쿨디스코,프릴넥 퍼프소매 블라우스,셔츠/블라우스,84000,https://image.msscdn.net/thumbnails/images/prd_img/20260429/6403706/detail_6403706_17775303424573_big.jpg?w=1200,
아메스 월드와이드,DENIM SHORTSLEEVE SHIRTS,셔츠/블라우스,89000,https://image.msscdn.net/thumbnails/images/prd_img/20250210/4773411/detail_4773411_17418422266829_big.jpg?w=1200,
후아유,One-Shoulder T-shirt(F),반팔 티셔츠,39900,https://image.msscdn.net/thumbnails/images/goods_img/20260702/6768741/6768741_17832997127564_big.jpg?w=1200,
락케이크,Square Logo Denim Top,반팔 티셔츠,46000,https://image.msscdn.net/thumbnails/images/prd_img/20240318/3964290/detail_3964290_17513297536128_big.jpg?w=1200,
이스케이프프,스타 카모 ESCF 로고 콜라주 프린트 슬림핏 반팔티,반팔 티셔츠,50000,https://image.msscdn.net/thumbnails/images/prd_img/20250506/5088374/detail_5088374_17465255942927_big.png?w=1200,
길라아카이브,SLOGAN BOAT NECK T-SHIRTS,반팔 티셔츠,49000,https://image.msscdn.net/thumbnails/images/prd_img/20260406/6263734/detail_6263734_17769404904623_big.png?w=1200,
마뗑킴,UNBALANCE LOGO CROP TOP IN,반팔 티셔츠,58000,https://image.msscdn.net/thumbnails/images/goods_img/20250123/4739352/4739352_17376077678504_big.jpg?w=1200,
라이크더모스트,스트라이프 스퀘어넥 하프 티셔츠,반팔 티셔츠,35800,https://image.msscdn.net/thumbnails/images/goods_img/20250416/5034189/5034189_17483238968224_big.jpg?w=1200,
닉앤니콜,LACE LAYERED COWL TOP,반팔 티셔츠,65000,https://image.msscdn.net/thumbnails/images/goods_img/20260629/6746165/6746165_17827946364183_big.jpg?w=1200,
비바셔스,Petit Collar Shirt,반팔 티셔츠,65000,https://image.msscdn.net/thumbnails/images/prd_img/20240510/4122876/detail_4122876_17158499294657_big.jpg?w=1200,
오드스튜디오,키치 그래픽 카라 티셔츠,반팔 티셔츠,54000,https://image.msscdn.net/thumbnails/images/prd_img/20260325/6196210/detail_6196210_17749379506367_big.jpg?w=1200,
스트라이프마가린,썸머 슬리브 오픈버튼 루즈 카라 티셔츠,반팔 티셔츠,75000,https://image.msscdn.net/thumbnails/images/goods_img/20260521/6523454/6523454_17793107402670_big.jpg?w=1200,
미쏘,Frill Cap Sleeve Blouse,슬리브리스,39900,https://image.msscdn.net/thumbnails/images/prd_img/20260424/6372824/detail_6372824_17781298853025_big.jpg?w=1200,
에트오소메,Lace One-Shoulder Shirring Top,슬리브리스,62000,https://image.msscdn.net/thumbnails/images/goods_img/20260615/6667343/6667343_17816621983229_big.jpg?w=1200,
하이스쿨디스,플라워 레이스 슬리브리스,슬리브리스,46000,https://image.msscdn.net/thumbnails/images/prd_img/20260429/6403719/detail_6403719_17775305993981_big.jpg?w=1200,
글로니,WILD KNOT CAMISOLE,슬리브리스,42000,https://image.msscdn.net/thumbnails/images/goods_img/20260611/6653347/6653347_17811572535505_big.jpg?w=1200,
카키포인트,Ethnic Scarf Top,슬리브리스,108000,https://image.msscdn.net/thumbnails/images/prd_img/20250611/5176092/detail_5176092_17506783657259_big.jpg?w=1200,
일리고,로즈 러플 슬리브리스,슬리브리스,60000,https://image.msscdn.net/thumbnails/images/prd_img/20260317/6148763/detail_6148763_17763082588888_big.jpg?w=1200,
마드나잇 무브,lace sh top,슬리브리스,42000,https://image.msscdn.net/thumbnails/images/goods_img/20260429/6396472/6396472_17773987672461_big.jpg?w=1200,
탄산마그네슘,엘 캐피탄 슬리브리스,슬리브리스,61000,https://image.msscdn.net/thumbnails/images/prd_img/20250602/5163079/detail_5163079_17502337941804_big.jpg?w=1200,
언타이틀 서울,언타이틀 헨리 탱크탑,슬리브리스,42000,https://image.msscdn.net/thumbnails/images/prd_img/20260526/6546409/detail_6546409_17818314425927_big.jpg?w=1200,
일리고,버튼 홀터 슬리브리스,슬리브리스,62000,https://image.msscdn.net/thumbnails/images/prd_img/20260317/6148759/detail_6148759_17763084958703_big.jpg?w=1200,
미쏘,Henley Neck Deep V Short Sleeve Knit,니트/스웨터,39900,https://image.msscdn.net/thumbnails/images/prd_img/20260507/6430803/detail_6430803_17799460818828_big.jpg?w=1200,
에잇세컨즈,언발 카라 풀오버,니트/스웨터,39900,https://image.msscdn.net/thumbnails/images/goods_img/20250403/4982374/4982374_17436515214242_big.jpg?w=1200,
쥬시쥬디,크로셰니트가디건,니트/스웨터,79000,https://image.msscdn.net/thumbnails/images/prd_img/20260303/6075283/detail_6075283_17793562140169_big.jpg?w=1200,
트위,캐넛 홀터넥 레이어드 반팔니트,니트/스웨터,39900,https://image.msscdn.net/thumbnails/images/prd_img/20260410/6291641/detail_6291641_17757979047644_big.jpg?w=1200,
더그린랩,오프숄더 슬림 골지 니트,니트/스웨터,69000,https://image.msscdn.net/thumbnails/images/prd_img/20240813/4326313/detail_4326313_17243325032231_big.jpg?w=1200,
다미쉬,고딕 크로스 자수 니트집업,니트/스웨터,62000,https://image.msscdn.net/thumbnails/images/prd_img/20251113/5727505/detail_5727505_17630054357647_big.jpg?w=1200,
어썸스튜디오,클래식(스트라이프)브이넥 니트 버건디,니트/스웨터,62000,https://image.msscdn.net/thumbnails/images/prd_img/20260121/5919667/detail_5919667_17702780204347_big.jpg?w=1200,
미센스,카라배색 반팔 니트,니트/스웨터,99800,https://image.msscdn.net/thumbnails/images/goods_img/20251030/5667589/5667589_17618114722509_big.jpg?w=1200,
글랙,유니티 스트라이프 그물 니트,니트/스웨터,59000,https://image.msscdn.net/thumbnails/images/goods_img/20250212/4779952/4779952_17430428988255_big.jpg?w=1200,
슈퍼드라이,체커 로고 라운드 니트,니트/스웨터,159000,https://image.msscdn.net/thumbnails/images/goods_img/20240924/4459062/4459062_17528268739046_big.jpg?w=1200,
